ticker,source_tag,initial_tier,note
UNH,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
UPST,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
USFD,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
V,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
VEEV,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
VIAV,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
VIST,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
VMC,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
VRT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
VST,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
WAB,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
WDC,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
WDAY,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
WHR,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
WING,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
WLK,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
WOLF,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
WULF,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
WVE,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
WWD,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
WYFI,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
XENE,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
XLF,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
XPO,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
XYZ,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
YPF,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
Z,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ZG,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ZS,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
