ticker,universe_tier,data_depth,selected_this_run,update_attempted,update_status,update_mode,used_yfinance,cache_file,cache_exists_before,cache_exists_after,local_source_used,local_source_path,target_history_days,available_history_days,latest_price_date,latest_close,row_count_before,row_count_after,rows_added,failed_reason,runtime_deferred,updated_at
XENE,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/XENE.csv,TRUE,TRUE,TRUE,state/v18/price_cache/XENE.csv,270,2902,2026-05-21,54.119998931884766,2902,2902,0,,FALSE,2026-05-27T12:58:09
XLF,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/XLF.csv,TRUE,TRUE,TRUE,state/v18/price_cache/XLF.csv,270,6895,2026-05-21,51.72999954223633,6895,6895,0,,FALSE,2026-05-27T12:58:09
XPO,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/XPO.csv,TRUE,TRUE,TRUE,state/v18/price_cache/XPO.csv,270,5692,2026-05-21,203.57000732421875,5692,5692,0,,FALSE,2026-05-27T12:58:09
YPF,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/YPF.csv,TRUE,TRUE,TRUE,state/v18/price_cache/YPF.csv,270,8281,2026-05-21,47.939998626708984,8281,8281,0,,FALSE,2026-05-27T12:58:09
Z,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/Z.csv,TRUE,TRUE,TRUE,state/v18/price_cache/Z.csv,270,2717,2026-05-21,36.75,2717,2717,0,,FALSE,2026-05-27T12:58:09
ZG,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/ZG.csv,TRUE,TRUE,TRUE,state/v18/price_cache/ZG.csv,270,3732,2026-05-21,37.25,3732,3732,0,,FALSE,2026-05-27T12:58:09
AA,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/AA.csv,TRUE,TRUE,TRUE,state/v18/price_cache/AA.csv,270,1262,2026-05-20,64.13999938964844,1262,1262,0,,FALSE,2026-05-27T12:58:09
AAL,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/AAL.csv,TRUE,TRUE,TRUE,state/v18/price_cache/AAL.csv,270,1262,2026-05-20,12.949999809265137,1262,1262,0,,FALSE,2026-05-27T12:58:09
ABR,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/ABR.csv,TRUE,TRUE,TRUE,state/v18/price_cache/ABR.csv,270,1262,2026-05-20,5.78000020980835,1262,1262,0,,FALSE,2026-05-27T12:58:09
ADBE,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/ADBE.csv,TRUE,TRUE,TRUE,state/v18/price_cache/ADBE.csv,270,1262,2026-05-20,253.3699951171875,1262,1262,0,,FALSE,2026-05-27T12:58:09
ADMA,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/ADMA.csv,TRUE,TRUE,TRUE,state/v18/price_cache/ADMA.csv,270,1262,2026-05-20,8.5600004196167,1262,1262,0,,FALSE,2026-05-27T12:58:09
ADSK,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/ADSK.csv,TRUE,TRUE,TRUE,state/v18/price_cache/ADSK.csv,270,1262,2026-05-20,243.6300048828125,1262,1262,0,,FALSE,2026-05-27T12:58:09
AEVA,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/AEVA.csv,TRUE,TRUE,TRUE,state/v18/price_cache/AEVA.csv,270,1262,2026-05-20,21.110000610351562,1262,1262,0,,FALSE,2026-05-27T12:58:09
