"old_rank","ticker","in_old_top20","composite_candidate_score","factor_score","technical_score","old_latest_price_date","force_price_date","force_close","overlay_price_date","overlay_close","change_pct_from_overlay","manual_scan_flag"
"152","BAC","FALSE","31.795852",,,"2026-05-20","2026-05-29","51.6","2026-05-28","50.77","1.63","LATEST_PRICE_OK"
"153","COGT","FALSE","31.722303",,,"2026-05-21","2026-05-29","34.96","2026-05-28","35.38","-1.19","LATEST_PRICE_OK"
"154","MCK","FALSE","31.606672",,,"2026-05-20","2026-05-29","742.44","2026-05-28","756.98","-1.92","LATEST_PRICE_OK"
"155","APO","FALSE","31.602213",,,"2026-05-20","2026-05-29","128.71","2026-05-28","127.51","0.94","LATEST_PRICE_OK"
"156","MRVL","FALSE","31.5",,,"2026-05-26","2026-05-29","205","2026-05-28","204.83","0.08","LATEST_PRICE_OK"
"157","IWM","FALSE","31.455809",,,"2026-05-20","2026-05-29","290.43","2026-05-28","292.03","-0.55","LATEST_PRICE_OK"
"158","LHX","FALSE","31.418816",,,"2026-05-20","2026-05-29","315.18","2026-05-28","314.78","0.13","LATEST_PRICE_OK"
"159","TSLA","FALSE","31.38",,,"2026-05-26","2026-05-29","435.79","2026-05-28","442.1","-1.43","LATEST_PRICE_OK"
"160","LIN","FALSE","31.350254",,,"2026-05-20","2026-05-29","497.69","2026-05-28","501.98","-0.85","LATEST_PRICE_OK"
"161","GRAB","FALSE","31.31437",,,"2026-05-20","2026-05-29","3.54","2026-05-28","3.54","0","LATEST_PRICE_OK"
"162","PCOR","FALSE","31.292054",,,"2026-05-21","2026-05-29","49.49","2026-05-28","47.54","4.1","LATEST_PRICE_OK"
"163","KVYO","FALSE","31.273721",,,"2026-05-20","2026-05-29","15.84","2026-05-28","14.74","7.46","LATEST_PRICE_OK"
"164","QS","FALSE","31.180681",,,"2026-05-21","2026-05-29","8.98","2026-05-28","9.13","-1.64","LATEST_PRICE_OK"
"165","CHPT","FALSE","31.049428",,,"2026-05-20","2026-05-29","7.59","2026-05-28","7.8","-2.69","LATEST_PRICE_OK"
"166","MPWR","FALSE","31.0",,,"2026-05-26","2026-05-29","1566.21","2026-05-28","1633.17","-4.1","LATEST_PRICE_OK"
"167","CHYM","FALSE","30.93596",,,"2026-05-22","2026-05-29","18.6","2026-05-28","18.1","2.76","LATEST_PRICE_OK"
"168","NU","FALSE","30.926657",,,"2026-05-20","2026-05-29","13.13","2026-05-28","13.05","0.61","LATEST_PRICE_OK"
"169","PI","FALSE","30.652828",,,"2026-05-21","2026-05-29","151","2026-05-28","156.88","-3.75","LATEST_PRICE_OK"
"170","GNRC","FALSE","30.62",,,"2026-05-26","2026-05-29","277.91","2026-05-28","279.45","-0.55","LATEST_PRICE_OK"
