factor_pack_rank,ticker,factor_pack_score,latest_price_date,latest_close,ret_5d,ret_20d,ret_60d,ret_120d,volume_ratio_5_20,F006_SHORT_REV_5D,F007_PULLBACK_IN_UPTREND,F008_VOLUME_ABNORMAL_5_20,F009_VOLUME_PRICE_CONFIRM,F010_XSEC_COMPOSITE_RANK,F011_TS_MOMENTUM_60_120,F012_TS_PULLBACK_REVERSAL,volatility_penalty,overheat_penalty,shadow_side_hint
293,JBS,24.633597,2026-05-29,12.470000267028809,-0.030327,-0.234029,-0.261693,-0.161399,1.302191,57.58175,33.333333,53.4794,0.0,24.633597,19.230267,33.333333,,,V18_35D_RECOMPUTE
294,SE,24.483057,2026-05-29,90.52999877929688,0.026068,0.059574,-0.183679,-0.348752,0.605726,43.483,33.333333,7.0484,39.347587,24.483057,15.585633,33.333333,,,V18_35D_RECOMPUTE
295,ZS,24.324666,2026-05-29,139.72999572753906,-0.061396,0.036573,-0.125321,-0.491909,1.071747,65.349,33.333333,38.116467,39.866167,24.324666,12.759,33.333333,,,V18_35D_RECOMPUTE
296,ABR,23.765325,2026-05-29,5.75,-0.015411,-0.261874,-0.198047,-0.363234,0.931553,53.85275,33.333333,28.7702,0.0,23.765325,14.623967,33.333333,,,V18_35D_RECOMPUTE
297,GEHC,23.761382,2026-05-29,62.34000015258789,-0.005266,-0.108027,-0.258122,-0.226839,0.905796,51.3165,33.333333,27.053067,17.024929,23.761382,17.167967,33.333333,,,V18_35D_RECOMPUTE
298,NRG,23.701921,2026-05-29,134.0800018310547,-0.004751,-0.132337,-0.269677,-0.204462,1.106506,51.18775,33.333333,40.433733,8.928053,23.701921,17.5287,33.333333,,,V18_35D_RECOMPUTE
299,GT,22.243469,2026-05-29,6.099999904632568,0.053541,-0.134752,-0.279811,-0.277251,0.90579,36.61475,33.333333,27.052667,12.990498,22.243469,14.7646,33.333333,,,V18_35D_RECOMPUTE
300,FLUT,21.709723,2026-05-29,96.9800033569336,0.033351,-0.085526,-0.190754,-0.514906,0.730095,41.66225,33.333333,15.339667,22.926316,21.709723,9.811333,33.333333,,,V18_35D_RECOMPUTE
301,PONY,21.313554,2026-05-29,10.029999732971191,0.218712,-0.049289,-0.300558,-0.291166,1.165695,0.0,33.333333,44.379667,23.757343,21.313554,13.6092,33.333333,,,V18_35D_RECOMPUTE
302,ACM,21.043149,2026-05-29,69.37000274658203,-0.127421,-0.197478,-0.291347,-0.329888,1.331595,81.85525,33.333333,55.439667,0.0,21.043149,12.6255,33.333333,,,V18_35D_RECOMPUTE
303,ZG,20.064026,2026-05-29,35.36000061035156,-0.070941,-0.225071,-0.239897,-0.511265,1.082467,67.73525,33.333333,38.831133,0.0,20.064026,8.2946,33.333333,,,V18_35D_RECOMPUTE
304,Z,19.446962,2026-05-29,35.0,-0.070632,-0.229245,-0.249732,-0.529443,1.296617,67.658,33.333333,53.1078,0.0,19.446962,7.360833,33.333333,,,V18_35D_RECOMPUTE
305,OPCH,19.180882,2026-05-29,20.8700008392334,0.069160,-0.265141,-0.345563,-0.328939,0.645874,32.71,33.333333,9.724933,4.792054,19.180882,10.849933,33.333333,,,V18_35D_RECOMPUTE
306,INSM,18.817269,2026-05-29,106.91000366210938,-0.020432,-0.209070,-0.287267,-0.485441,0.872978,55.108,33.333333,24.8652,2.914415,18.817269,7.5764,33.333333,,,V18_35D_RECOMPUTE
307,CSGP,18.431419,2026-05-29,32.20000076293945,0.010989,-0.138577,-0.280929,-0.525214,1.459769,47.25275,33.333333,63.9846,0.0,18.431419,6.4619,33.333333,,,V18_35D_RECOMPUTE
308,TIGR,17.203871,2026-05-29,5.139999866485596,-0.165584,-0.259366,-0.363861,-0.417234,1.262825,91.396,33.333333,50.855,0.0,17.203871,7.296833,33.333333,,,V18_35D_RECOMPUTE
309,RBLX,16.724495,2026-05-29,47.150001525878906,0.100350,-0.159387,-0.339636,-0.503841,0.695088,24.9125,33.333333,13.005867,14.868668,16.724495,5.217433,33.333333,,,V18_35D_RECOMPUTE
310,WHR,16.599349,2026-05-29,43.41999816894531,0.085771,-0.192937,-0.371908,-0.438655,0.850185,28.55725,33.333333,23.345667,5.994643,16.599349,6.314567,33.333333,,,V18_35D_RECOMPUTE
311,WVE,16.526593,2026-05-29,6.579999923706055,-0.028065,-0.083565,-0.571615,-0.152062,1.141906,57.01625,33.333333,42.793733,17.429438,16.526593,9.210767,33.333333,,,V18_35D_RECOMPUTE
312,BSX,16.355271,2026-05-29,48.310001373291016,-0.097852,-0.264576,-0.342542,-0.521494,0.945558,74.463,33.333333,29.703867,0.0,16.355271,4.532133,33.333333,,,V18_35D_RECOMPUTE
313,LCID,15.82051,2026-05-29,6.550000190734863,0.044657,0.044657,-0.362840,-0.510463,0.741988,38.83575,33.333333,16.132533,38.855826,15.82051,4.223233,33.333333,,,V18_35D_RECOMPUTE
314,PSIX,15.351384,2026-05-29,41.68000030517578,0.075613,-0.458982,-0.547301,-0.229290,0.576775,31.09675,33.333333,5.118333,0.0,15.351384,7.446967,33.333333,,,V18_35D_RECOMPUTE
315,WING,15.313098,2026-05-29,156.9600067138672,0.214767,-0.171146,-0.422941,-0.407094,0.715043,0.0,33.333333,14.3362,12.937208,15.313098,5.6655,33.333333,,,V18_35D_RECOMPUTE
316,OLMA,12.122808,2026-05-29,13.1899995803833,-0.029433,-0.150676,-0.459205,-0.534251,0.820262,57.35825,33.333333,21.3508,12.734367,12.122808,0.218133,33.333333,,,V18_35D_RECOMPUTE
317,ADMA,10.276826,2026-05-29,7.980000019073486,-0.061176,-0.279783,-0.491071,-0.583072,0.548872,65.294,33.333333,3.258133,7.739158,10.276826,0.0,33.333333,,,V18_35D_RECOMPUTE
